Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1934-655/2,SCM - Textiles Machinery,,"Detached parts : 2 spools, one lacking one end; sheet-metal troughs to fit pitch-chains; spur wheel and a pair of spurwheels; broken piece of  a bolting palon; a bolt and 2 washers; detached leather lapping for a roller. Note : other items found with this machine almost certainly do  not belong and have been separated but not destroyed",": Detached parts : 2 spools, one lacking one end; sheet-metal troughs to fit pitch-chains; spur wheel and a pair of spurwheels; broken piece of  a bolting palon; a bolt and 2 washers; detached leather lapping for a roller. Note : other items found with this machine almost certainly do  not belong and have been separated but not destroyed",,,,,,"Detached parts : 2 spools, one lacking one end; sh"
1935-14,SCM - Textiles Machinery,power loom,"Model on a reduced scale of  the first Vaucanson loom of 1745, based upon the original in the Conservatoire des Arts et Metiers, Paris. This loom uses an earlier form of the Jacquard System, i.e. a rotating drum to select heddles.","power loom: Model on a reduced scale of  the first Vaucanson loom of 1745, based upon the original in the Conservatoire des Arts et Metiers, Paris. This loom uses an earlier form of the Jacquard System, i.e. a rotating drum to select heddles.",,,1745; before 1935,wood; steel; brass; lead,overall: 1.24 x 1 x 1.15 m,Model on a reduced scale of  the first Vaucanson l
1935-279,SCM - Textiles Machinery,braiding machine,"Carter's improved high speed type bench braiding machine, fitted with 16 patent Speedway carriers for carrying cheese of yarn on cardboard tubes, on cast iron stand with a sample of braiding and cable braiding in progress.","braiding machine: Carter's improved high speed type bench braiding machine, fitted with 16 patent Speedway carriers for carrying cheese of yarn on cardboard tubes, on cast iron stand with a sample of braiding and cable braiding in progress.",B and F Carter and Company Limited,"Rochdale, Greater Manchester, England, United Kingdom",,cast steel; forged steel; steel,"overall, inc pallet: 234.5 mm,; 660 mm x 214.5 mm, 493kg",Carter's improved high speed type bench braiding m
1935-561,SCM - Textiles Machinery,spinning wheel,"Swedish spinning wheel made in the traditional Swedish style of c. 1800, with a floor standing distaff.","spinning wheel: Swedish spinning wheel made in the traditional Swedish style of c. 1800, with a floor standing distaff.",Unknown maker,Sweden,1935,pinewood; birch,overall: 1000 x 500 x 1000 mm,Swedish spinning wheel made in the traditional Swedish style
1935-625,SCM - Textiles Machinery,Silk,Specimens relating to the production of silk being: 2 small circular sample boxes containing hatched and unhatched eggs; 1 small sample box containing skins; a box of 28 cocoons; 2 specimens of waste silk; 1 hank of raw silk; 1 hank of fine English reeled silk; 1 hank of fine Italian reeled silk; 6 moth and 3 caterpillar and cocoon specimens mounted together and a white silk scarf of English silk.,Silk: Specimens relating to the production of silk being: 2 small circular sample boxes containing hatched and unhatched eggs; 1 small sample box containing skins; a box of 28 cocoons; 2 specimens of waste silk; 1 hank of raw silk; 1 hank of fine English reeled silk; 1 hank of fine Italian reeled silk; 6 moth and 3 caterpillar and cocoon specimens mounted together and a white silk scarf of English silk.,,,,,,Specimens relating to the production of silk being
1935-625/1,SCM - Textiles Machinery,Silk,1 small circular sample box containing hatched eggs,Silk: 1 small circular sample box containing hatched eggs,,,,,,Specimens relating to the production of silk
1935-625/2,SCM - Textiles Machinery,Silk,1 small circular sample box containing unhatched eggs,Silk: 1 small circular sample box containing unhatched eggs,,,,,,Specimens relating to the production of silk
1935-625/3,SCM - Textiles Machinery,Silk,6 moth and 3 caterpillar and cocoon specimens mounted together,Silk: 6 moth and 3 caterpillar and cocoon specimens mounted together,,,,,,Specimens relating to the production of silk
1935-625/4,SCM - Textiles Machinery,Silk,1 small sample box containing skins,Silk: 1 small sample box containing skins,,,,,,Specimens relating to the production of silk
1935-625/5,SCM - Textiles Machinery,Silk,a box of 28 cocoons.,Silk: a box of 28 cocoons.,,,,,,Specimens relating to the production of silk
1935-625/6,SCM - Textiles Machinery,Silk,2 specimens of waste silk.,Silk: 2 specimens of waste silk.,,,,,,Specimens relating to the production of silk
1935-625/7,SCM - Textiles Machinery,Silk,1 hank of raw silk.,Silk: 1 hank of raw silk.,,,,,,Specimens relating to the production of silk
1935-625/8,SCM - Textiles Machinery,Silk,1 hank of fine English reeled silk.,Silk: 1 hank of fine English reeled silk.,,,,,,Specimens relating to the production of silk
1935-625/9,SCM - Textiles Machinery,Silk,1 hank of fine Italian reeled silk.,Silk: 1 hank of fine Italian reeled silk.,,,,,,Specimens relating to the production of silk
1935-625/10,SCM - Textiles Machinery,Silk,A white silk scarf of English silk.,Silk: A white silk scarf of English silk.,,,,,,Specimens relating to the production of silk
1936-320,SCM - Textiles Machinery,,"Hand mule, consisting of headstock, and parts of roller beam and carriage",": Hand mule, consisting of headstock, and parts of roller beam and carriage",Unknown maker,United Kingdom,,metal (unknown); wood (unidentified); textile; leather; wicker,,"Hand mule, consisting of headstock, and parts of roller beam and carriage"
1937-319,SCM - Textiles Machinery,lock stitch sewing machine,"Lock stitch sewing machine, the ""Wellington"", built by John Bradbury and Co., 1866.","lock stitch sewing machine: Lock stitch sewing machine, the ""Wellington"", built by John Bradbury and Co., 1866.",Bradbury and Company,"Oldham, Oldham borough, Greater Manchester, England, United Kingdom",1866,cast iron; steel,overall: 258 x 420 x 205 mm,"""Wellington"" lock stitch sewing machine"
1937-880,SCM - Textiles Machinery,Silk,"Sample of royal purple velvet and sample of satin as used for the Coronation robes, made from English silk from the silk farm of Lady Hart Dyke at Lullingstone Castle","Silk: Sample of royal purple velvet and sample of satin as used for the Coronation robes, made from English silk from the silk farm of Lady Hart Dyke at Lullingstone Castle",,,,,,Sample of royal purple velvet and sample of satin 
1938-202,SCM - Textiles Machinery,sewing,Hemstitching attachment for Singer sewing machine,sewing: Hemstitching attachment for Singer sewing machine,Singer Manufacturing Co. Ltd. (maker),,,,,sewing machine attachment
1938-204,SCM - Textiles Machinery,sewing,Zig-zag stitching attachment for Singer sewing machine,sewing: Zig-zag stitching attachment for Singer sewing machine,Singer Manufacturing Co. Ltd. (maker),,,,,zig zag sewing machine attachment
1938-206,SCM - Textiles Machinery,sewing,Braiding foot for Singer sewing machine,sewing: Braiding foot for Singer sewing machine,Singer Manufacturing Co. Ltd. (maker),,,,,braiding foot sewing machine attachment
1938-207,SCM - Textiles Machinery,sewing machine accessory; rug making tool,"A Singer sewing machine accessory, being a guide tool to assist in the making of loop pile rugs, c. 1938; with a partly completed rug to serve as an example.","sewing machine accessory; rug making tool: A Singer sewing machine accessory, being a guide tool to assist in the making of loop pile rugs, c. 1938; with a partly completed rug to serve as an example.",Singer Manufacturing Company Ltd.,,,steel,overall: 35 x 240 mm,"A Singer sewing machine accessory, being a guide tool to ass"
1938-515,SCM - Textiles Machinery,,Specimen of fine hand-spun flax yarn.,: Specimen of fine hand-spun flax yarn.,,,,,,Specimen of fine hand-spun flax yarn.
1939-98,SCM - Textiles Machinery,,Collection of twelve needles (six iron and six bronze) found in the Wallbrook,: Collection of twelve needles (six iron and six bronze) found in the Wallbrook,,,,,,Collection of twelve needles (six iron and six bro
1939-160,SCM - Textiles Machinery,,Collection of eleven early spindle whorls.,: Collection of eleven early spindle whorls.,,,,,,Collection of eleven early spindle whorls.
1939-160/1,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/2,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/3,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/4,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/5,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/6,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/7,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/8,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/9,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/10,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-160/11,SCM - Textiles Machinery,spindle whorl,"Early spindle whorl, one of eleven","spindle whorl: Early spindle whorl, one of eleven",,,,,,Spindle whorl
1939-163,SCM - Textiles Machinery,woven tapestry,"Tapestry panel depicting ""Old Bolton Abbey"", woven on a modern power loom","woven tapestry: Tapestry panel depicting ""Old Bolton Abbey"", woven on a modern power loom",,,Not known,,,"Tapestry panel depicting ""Old Bolton Abbey"", woven"
1939-190/1,SCM - Textiles Machinery,automatic power loom,"Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","automatic power loom: Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,cast iron; steel,"overall: H =1440 mm x D = 2690 mm x  W = 1455 mm, 1285 kg",Northrop single-shuttle 'S' loom
1939-190/2,SCM - Textiles Machinery,box - container,"Bobbin box belonging to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","box - container: Bobbin box belonging to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin Box of a Northrop single-shuttle 'S' loom
1939-190/3,SCM - Textiles Machinery,bobbin,"Bobbin wound with green thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin wound with green thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
1939-190/4,SCM - Textiles Machinery,bobbin,"Bobbin wound with cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin wound with cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
1939-190/5,SCM - Textiles Machinery,bobbin,"Bobbin wound with cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin wound with cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
1939-190/6,SCM - Textiles Machinery,bobbin,"Bobbin wound with tangled cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin wound with tangled cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
1939-190/7,SCM - Textiles Machinery,bobbin,"Bobbin wound with cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin wound with cream thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
1939-190/8,SCM - Textiles Machinery,bobbin,"Bobbin wound with green thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin wound with green thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
1939-190/9,SCM - Textiles Machinery,bobbin,"Bobbin partially wound with green thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.","bobbin: Bobbin partially wound with green thread, which belongs to a Northrop single-shuttle 'S' loom with automatic bobbin insertion, 1939.",British Northrop Loom Company,"Blackburn, Blackburn with Darwen, England, United Kingdom",1939,wood (unidentified),,Bobbin from a Northrop single-shuttle 'S' loom
